month,LEI,CEI,GDP,NBER,Fed_Funds,Inflation
7/1/1972,50.3,39.5,3.8,expansion,4.55,2.9
8/1/1972,51,39.9,3.8,expansion,4.81,2.9
9/1/1972,51.6,40.2,3.8,expansion,4.87,3.2
10/1/1972,52,40.7,6.9,expansion,5.05,3.4
11/1/1972,52.5,41,6.9,expansion,5.06,3.7
12/1/1972,53.1,41.4,6.9,expansion,5.33,3.4
1/1/1973,53.4,41.5,10.3,expansion,5.94,3.6
2/1/1973,53.6,41.7,10.3,expansion,6.58,3.9
3/1/1973,53.6,41.8,10.3,expansion,7.09,4.6
4/1/1973,53.3,41.8,4.4,expansion,7.12,5.1
5/1/1973,53.3,41.9,4.4,expansion,7.84,5.5
6/1/1973,53.2,42,4.4,expansion,8.49,6
7/1/1973,52.9,42.2,-2.1,expansion,10.4,5.7
8/1/1973,52.4,42,-2.1,expansion,10.5,7.4
9/1/1973,52.2,42.2,-2.1,expansion,10.78,7.4
10/1/1973,52.1,42.7,3.9,expansion,10.01,7.8
11/1/1973,51.8,42.9,3.9,expansion,10.03,8.3
12/1/1973,51.2,42.8,3.9,contraction,9.95,8.7
1/1/1974,51,42.6,-3.4,contraction,9.65,9.4
2/1/1974,50.6,42.5,-3.4,contraction,8.97,10
3/1/1974,50.5,42.4,-3.4,contraction,9.35,10.4
4/1/1974,49.8,42.3,1,contraction,10.51,10.1
5/1/1974,49.6,42.4,1,contraction,11.31,10.7
6/1/1974,49.1,42.4,1,contraction,11.93,10.9
7/1/1974,48.5,42.4,-3.7,contraction,12.92,11.5
8/1/1974,47.7,42.2,-3.7,contraction,12.01,10.9
9/1/1974,46.8,42.1,-3.7,contraction,11.34,11.9
10/1/1974,46.2,42,-1.5,contraction,10.06,12.1
11/1/1974,45.5,41.5,-1.5,contraction,9.45,12.2
12/1/1974,44.7,40.8,-1.5,contraction,8.53,12.3
1/1/1975,44.4,40.6,-4.8,contraction,7.13,11.8
2/1/1975,44.2,40.3,-4.8,contraction,6.24,11.2
3/1/1975,44.1,39.9,-4.8,contraction,5.54,10.3
4/1/1975,44.7,40,2.9,expansion,5.49,10.2
5/1/1975,45,40,2.9,expansion,5.22,9.5
6/1/1975,45.3,40.1,2.9,expansion,5.55,9.4
7/1/1975,45.8,40.3,7,expansion,6.1,9.7
8/1/1975,45.9,40.6,7,expansion,6.14,8.6
9/1/1975,46.1,40.8,7,expansion,6.24,7.9
10/1/1975,46.5,40.9,5.5,expansion,5.82,7.4
11/1/1975,46.7,41,5.5,expansion,5.22,7.4
12/1/1975,47,41.2,5.5,expansion,5.2,6.9
1/1/1976,47.7,41.7,9.3,expansion,4.87,6.7
2/1/1976,48.4,41.9,9.3,expansion,4.77,6.3
3/1/1976,48.6,42.1,9.3,expansion,4.84,6.1
4/1/1976,48.8,42.3,3,expansion,4.82,6
5/1/1976,49.2,42.3,3,expansion,5.29,6.2
6/1/1976,49.3,42.5,3,expansion,5.48,6
7/1/1976,49.8,42.6,2.2,expansion,5.31,5.4
8/1/1976,50,42.8,2.2,expansion,5.29,5.7
9/1/1976,50.4,42.9,2.2,expansion,5.25,5.5
10/1/1976,50.4,42.8,2.9,expansion,5.02,5.5
11/1/1976,50.9,43.2,2.9,expansion,4.95,4.9
12/1/1976,51.4,43.6,2.9,expansion,4.65,4.9
1/1/1977,51.4,43.4,4.8,expansion,4.61,5.2
2/1/1977,51.7,43.8,4.8,expansion,4.68,5.9
3/1/1977,52.5,44.1,4.8,expansion,4.69,6.4
4/1/1977,52.6,44.3,8,expansion,4.73,7
5/1/1977,52.9,44.5,8,expansion,5.35,6.7
6/1/1977,53.3,44.8,8,expansion,5.39,6.9
7/1/1977,53.4,44.9,7.4,expansion,5.42,6.8
8/1/1977,53.6,45,7.4,expansion,5.9,6.6
9/1/1977,53.7,45.3,7.4,expansion,6.14,6.6
10/1/1977,53.8,45.5,0,expansion,6.47,6.4
11/1/1977,54,45.8,0,expansion,6.51,6.7
12/1/1977,54.1,46,0,expansion,6.56,6.7
1/1/1978,53.8,45.6,1.3,expansion,6.7,6.8
2/1/1978,54.1,46,1.3,expansion,6.78,6.4
3/1/1978,54.6,46.4,1.3,expansion,6.79,6.6
4/1/1978,55.2,47,16.4,expansion,6.89,6.5
5/1/1978,55.5,47.1,16.4,expansion,7.36,7
6/1/1978,55.7,47.4,16.4,expansion,7.6,7.4
7/1/1978,55.6,47.4,4.1,expansion,7.81,7.7
8/1/1978,56,47.7,4.1,expansion,8.04,7.8
9/1/1978,56.2,47.7,4.1,expansion,8.45,8.3
10/1/1978,56.3,48,5.5,expansion,8.96,8.9
11/1/1978,56,48.2,5.5,expansion,9.76,8.9
12/1/1978,56,48.4,5.5,expansion,10.03,9
1/1/1979,55.7,48.4,0.7,expansion,10.07,9.3
2/1/1979,55.6,48.5,0.7,expansion,10.06,9.9
3/1/1979,56.1,48.9,0.7,expansion,10.09,10.1
4/1/1979,55.1,48.4,0.4,expansion,10.01,10.5
5/1/1979,55.4,48.7,0.4,expansion,10.24,10.9
6/1/1979,55.1,48.7,0.4,expansion,10.29,10.9
7/1/1979,54.7,48.7,3,expansion,10.47,11.3
8/1/1979,54.4,48.7,3,expansion,10.94,11.8
9/1/1979,54.2,48.6,3,expansion,11.43,12.2
10/1/1979,53.7,48.7,1,expansion,13.77,12.1
11/1/1979,53,48.8,1,expansion,13.18,12.6
12/1/1979,52.6,48.8,1,expansion,13.78,13.3
1/1/1980,52.5,48.9,1.3,expansion,13.82,13.9
2/1/1980,52.4,48.8,1.3,contraction,14.13,14.2
3/1/1980,51.1,48.5,1.3,contraction,17.19,14.8
4/1/1980,49.5,48.1,-8,contraction,17.61,14.7
5/1/1980,48.9,47.6,-8,contraction,10.98,14.4
6/1/1980,49.1,47.5,-8,contraction,9.47,14.4
7/1/1980,49.5,47.4,-0.5,contraction,9.03,13.1
8/1/1980,49.9,47.6,-0.5,expansion,9.61,12.9
9/1/1980,50.3,48,-0.5,expansion,10.87,12.6
10/1/1980,50.7,48.5,7.7,expansion,12.81,12.8
11/1/1980,50.8,48.8,7.7,expansion,15.85,12.6
12/1/1980,50.5,49,7.7,expansion,18.9,12.5
1/1/1981,49.9,48.9,8.1,expansion,19.08,11.8
2/1/1981,49.6,48.8,8.1,expansion,15.93,11.4
3/1/1981,49.7,48.8,8.1,expansion,14.7,10.5
4/1/1981,50,48.8,-2.9,expansion,15.72,10
5/1/1981,49.7,48.9,-2.9,expansion,18.52,9.8
6/1/1981,49.3,49,-2.9,expansion,19.1,9.6
7/1/1981,48.9,49.3,4.9,expansion,19.04,10.8
8/1/1981,48.7,49.3,4.9,contraction,17.82,10.8
9/1/1981,48.1,49.2,4.9,contraction,15.87,11
10/1/1981,47.7,48.9,-4.3,contraction,15.08,10.1
11/1/1981,47.6,48.7,-4.3,contraction,13.31,9.6
12/1/1981,47.4,48.5,-4.3,contraction,12.37,8.9
1/1/1982,46.9,48.1,-6.1,contraction,13.22,8.4
2/1/1982,47.2,48.5,-6.1,contraction,14.78,7.6
3/1/1982,46.9,48.4,-6.1,contraction,14.68,6.8
4/1/1982,46.9,48.4,1.8,contraction,14.94,6.5
5/1/1982,46.7,48.3,1.8,contraction,14.45,6.7
6/1/1982,46.4,48.1,1.8,contraction,14.15,7.1
7/1/1982,46.5,47.9,-1.5,contraction,12.59,6.4
8/1/1982,46.1,47.8,-1.5,contraction,10.12,5.9
9/1/1982,46.5,47.7,-1.5,contraction,10.31,5
10/1/1982,46.7,47.4,0.2,contraction,9.71,5.1
11/1/1982,46.9,47.4,0.2,contraction,9.2,4.6
12/1/1982,47.3,47.4,0.2,expansion,8.95,3.8
1/1/1983,48.1,47.8,5.4,expansion,8.68,3.7
2/1/1983,48.7,47.7,5.4,expansion,8.51,3.5
3/1/1983,49.3,48,5.4,expansion,8.77,3.6
4/1/1983,49.7,48.2,9.4,expansion,8.8,3.9
5/1/1983,50.5,48.5,9.4,expansion,8.63,3.5
6/1/1983,51.1,48.8,9.4,expansion,8.98,2.6
7/1/1983,51.7,49.1,8.2,expansion,9.37,2.5
