month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI
07/1972,50.3,39.5,expansion,0.0,0.0,0.0,0,0,0
08/1972,51.0,39.9,expansion,0.013916500994035843,0.0,0.0,1,0,0
09/1972,51.6,40.2,expansion,0.011764705882352969,0.0,0.0,1,0,0
10/1972,52.0,40.7,expansion,0.007751937984496096,0.03379721669980125,0.0,1,1,0
11/1972,52.5,41.0,expansion,0.009615384615384616,0.029411764705882353,0.0,1,1,0
12/1972,53.1,41.4,expansion,0.011428571428571456,0.029069767441860465,0.0,1,1,0
01/1973,53.4,41.5,expansion,0.00564971751412424,0.026923076923076897,0.061630218687872794,1,1,1
02/1973,53.6,41.7,expansion,0.0037453183520599785,0.02095238095238098,0.05098039215686277,1,1,1
03/1973,53.6,41.8,expansion,0.0,0.009416195856873822,0.03875968992248062,0,1,1
04/1973,53.3,41.8,expansion,-0.005597014925373214,-0.0018726591760299892,0.024999999999999946,0,0,1
05/1973,53.3,41.9,expansion,0.0,-0.005597014925373214,0.015238095238095184,0,0,1
06/1973,53.2,42.0,expansion,-0.0018761726078798185,-0.007462686567164152,0.0018832391713747914,0,0,1
07/1973,52.9,42.2,expansion,-0.005639097744360982,-0.007504690431519674,-0.009363295880149813,0,0,0
08/1973,52.4,42.0,expansion,-0.00945179584120983,-0.016885553470919298,-0.022388059701492588,0,0,0
09/1973,52.2,42.2,expansion,-0.0038167938931296897,-0.018796992481203006,-0.026119402985074598,0,0,0
10/1973,52.1,42.7,expansion,-0.0019157088122605636,-0.015122873345935674,-0.02251407129455902,0,0,0
11/1973,51.8,42.9,expansion,-0.0057581573896353985,-0.01145038167938934,-0.028142589118198877,0,0,0
12/1973,51.2,42.8,contraction,-0.011583011583011473,-0.019157088122605363,-0.03759398496240601,0,0,0
01/1974,51.0,42.6,contraction,-0.0039062500000000555,-0.02111324376199619,-0.03591682419659733,0,0,0
02/1974,50.6,42.5,contraction,-0.007843137254901933,-0.023166023166023085,-0.034351145038167885,0,0,0
03/1974,50.5,42.4,contraction,-0.001976284584980265,-0.013671875000000056,-0.03256704980842917,0,0,0
04/1974,49.8,42.3,contraction,-0.013861386138613917,-0.023529411764705938,-0.04414587332053751,0,0,0
05/1974,49.6,42.4,contraction,-0.004016064257028027,-0.019762845849802372,-0.04247104247104239,0,0,0
06/1974,49.1,42.4,contraction,-0.010080645161290322,-0.027722772277227695,-0.04101562500000003,0,0,0
07/1974,48.5,42.4,contraction,-0.012219959266802473,-0.026104417670682674,-0.049019607843137254,0,0,0
08/1974,47.7,42.2,contraction,-0.016494845360824684,-0.0383064516129032,-0.057312252964426845,0,0,0
09/1974,46.8,42.1,contraction,-0.018867924528302004,-0.04684317718940945,-0.07326732673267332,0,0,0
10/1974,46.2,42.0,contraction,-0.0128205128205127,-0.04742268041237108,-0.07228915662650591,0,0,0
11/1974,45.5,41.5,contraction,-0.015151515151515213,-0.04612159329140467,-0.08266129032258067,0,0,0
12/1974,44.7,40.8,contraction,-0.01758241758241752,-0.044871794871794754,-0.08961303462321789,0,0,0
01/1975,44.4,40.6,contraction,-0.00671140939597325,-0.03896103896103905,-0.08453608247422684,0,0,0
02/1975,44.2,40.3,contraction,-0.004504504504504409,-0.028571428571428508,-0.07337526205450734,0,0,0
03/1975,44.1,39.9,contraction,-0.002262443438914059,-0.01342281879194634,-0.057692307692307605,0,0,0
04/1975,44.7,40.0,expansion,0.01360544217687078,0.006756756756756853,-0.032467532467532464,1,1,0
05/1975,45.0,40.0,expansion,0.00671140939597309,0.018099547511312153,-0.01098901098901099,1,1,0
06/1975,45.3,40.1,expansion,0.006666666666666604,0.0272108843537414,0.01342281879194618,1,1,1
07/1975,45.8,40.3,expansion,0.011037527593818985,0.024608501118568105,0.0315315315315315,1,1,1
08/1975,45.9,40.6,expansion,0.002183406113537149,0.01999999999999997,0.03846153846153836,1,1,1
09/1975,46.1,40.8,expansion,0.004357298474945596,0.01766004415011047,0.045351473922902494,1,1,1
10/1975,46.5,40.9,expansion,0.008676789587852464,0.015283842794759889,0.04026845637583886,1,1,1
11/1975,46.7,41.0,expansion,0.004301075268817265,0.017429193899782227,0.03777777777777784,1,1,1
12/1975,47.0,41.2,expansion,0.006423982869378953,0.01952277657266808,0.037527593818984614,1,1,1
01/1976,47.7,41.7,expansion,0.014893617021276655,0.025806451612903288,0.041484716157205365,1,1,1
02/1976,48.4,41.9,expansion,0.014675052410901378,0.03640256959314766,0.054466230936819175,1,1,1
03/1976,48.6,42.1,expansion,0.004132231404958737,0.03404255319148939,0.05422993492407809,1,1,1
04/1976,48.8,42.3,expansion,0.0041152263374484715,0.023060796645702184,0.049462365591397786,1,1,1
05/1976,49.2,42.3,expansion,0.008196721311475526,0.016528925619834798,0.05353319057815845,1,1,1
06/1976,49.3,42.5,expansion,0.0020325203252031365,0.01440329218106987,0.048936170212765896,1,1,1
07/1976,49.8,42.6,expansion,0.010141987829614604,0.020491803278688527,0.04402515723270428,1,1,1
08/1976,50.0,42.8,expansion,0.004016064257028169,0.01626016260162596,0.03305785123966945,1,1,1
09/1976,50.4,42.9,expansion,0.007999999999999972,0.02231237322515216,0.03703703703703698,1,1,1
10/1976,50.4,42.8,expansion,0.0,0.012048192771084366,0.03278688524590167,0,1,1
11/1976,50.9,43.2,expansion,0.00992063492063492,0.01799999999999997,0.034552845528455195,1,1,1
12/1976,51.4,43.6,expansion,0.009823182711198428,0.01984126984126984,0.04259634888438137,1,1,1
01/1977,51.4,43.4,expansion,0.0,0.01984126984126984,0.03212851405622493,0,1,1
02/1977,51.7,43.8,expansion,0.005836575875486465,0.01571709233791757,0.03400000000000006,1,1,1
03/1977,52.5,44.1,expansion,0.01547388781431329,0.02140077821011676,0.0416666666666667,1,1,1
04/1977,52.6,44.3,expansion,0.0019047619047619319,0.02334630350194558,0.04365079365079371,1,1,1
05/1977,52.9,44.5,expansion,0.005703422053231885,0.023210831721469937,0.03929273084479371,1,1,1
06/1977,53.3,44.8,expansion,0.007561436672967837,0.015238095238095184,0.036964980544747054,1,1,1
07/1977,53.4,44.9,expansion,0.0018761726078799516,0.015209125475285117,0.038910505836575876,1,1,1
08/1977,53.6,45.0,expansion,0.0037453183520599785,0.013232514177693815,0.03675048355899417,1,1,1
09/1977,53.7,45.3,expansion,0.0018656716417910712,0.0075046904315198065,0.022857142857142913,1,1,1
10/1977,53.8,45.5,expansion,0.0018621973929235439,0.007490636704119823,0.022813688212927674,1,1,1
11/1977,54.0,45.8,expansion,0.003717472118959161,0.007462686567164152,0.020793950850661654,1,1,1
12/1977,54.1,46.0,expansion,0.0018518518518518782,0.007448789571694573,0.015009380863039481,1,1,1
01/1978,53.8,45.6,expansion,-0.00554528650646958,0.0,0.007490636704119823,0,0,1
02/1978,54.1,46.0,expansion,0.005576208178438741,0.0018518518518518782,0.009328358208955223,1,1,1
03/1978,54.6,46.4,expansion,0.009242144177449167,0.009242144177449167,0.01675977653631282,1,1,1
04/1978,55.2,47.0,expansion,0.010989010989011014,0.026022304832713863,0.026022304832713863,1,1,1
05/1978,55.5,47.1,expansion,0.0054347826086956,0.025878003696857645,0.027777777777777776,1,1,1
06/1978,55.7,47.4,expansion,0.003603603603603655,0.020146520146520172,0.029574861367837362,1,1,1
07/1978,55.6,47.4,expansion,-0.0017953321364452678,0.007246376811594177,0.03345724907063205,0,1,1
08/1978,56.0,47.7,expansion,0.007194244604316521,0.009009009009009009,0.03512014787430681,1,1,1
09/1978,56.2,47.7,expansion,0.003571428571428622,0.008976660682226212,0.02930402930402933,1,1,1
10/1978,56.3,48.0,expansion,0.001779359430604881,0.01258992805755388,0.019927536231883956,1,1,1
11/1978,56.0,48.2,expansion,-0.005328596802841868,0.0,0.009009009009009009,0,0,1
12/1978,56.0,48.4,expansion,0.0,-0.003558718861210015,0.005385996409335676,0,0,1
01/1979,55.7,48.4,expansion,-0.005357142857142806,-0.010657193605683736,0.0017985611510791622,0,0,1
02/1979,55.6,48.5,expansion,-0.0017953321364452678,-0.0071428571428571175,-0.0071428571428571175,0,0,0
03/1979,56.1,48.9,expansion,0.008992805755395683,0.001785714285714311,-0.0017793594306050075,1,1,0
04/1979,55.1,48.4,expansion,-0.017825311942959002,-0.010771992818671479,-0.021314387211367598,0,0,0
05/1979,55.4,48.7,expansion,0.005444646098003578,-0.0035971223021583243,-0.01071428571428574,1,0,0
06/1979,55.1,48.7,expansion,-0.005415162454873595,-0.017825311942959002,-0.016071428571428546,0,0,0
07/1979,54.7,48.7,expansion,-0.00725952813067148,-0.00725952813067148,-0.017953321364452424,0,0,0
08/1979,54.4,48.7,expansion,-0.0054844606946984325,-0.018050541516245487,-0.02158273381294969,0,0,0
09/1979,54.2,48.6,expansion,-0.003676470588235216,-0.016333938294010864,-0.033868092691622075,0,0,0
10/1979,53.7,48.7,expansion,-0.00922509225092251,-0.018281535648994516,-0.025408348457350245,0,0,0
11/1979,53.0,48.8,expansion,-0.013035381750465602,-0.025735294117647033,-0.04332129963898915,0,0,0
12/1979,52.6,48.8,expansion,-0.007547169811320728,-0.029520295202952053,-0.045372050816696916,0,0,0
01/1980,52.5,48.9,expansion,-0.0019011406844106733,-0.02234636871508385,-0.040219378427787986,0,0,0
02/1980,52.4,48.8,contraction,-0.0019047619047619319,-0.011320754716981159,-0.03676470588235294,0,0,0
03/1980,51.1,48.5,contraction,-0.02480916030534346,-0.028517110266159697,-0.05719557195571958,0,0,0
04/1980,49.5,48.1,contraction,-0.03131115459882586,-0.05714285714285714,-0.07821229050279334,0,0,0
05/1980,48.9,47.6,contraction,-0.01212121212121215,-0.06679389312977099,-0.07735849056603776,0,0,0
06/1980,49.1,47.5,contraction,0.004089979550102308,-0.03913894324853229,-0.06653992395437262,1,0,0
07/1980,49.5,47.4,contraction,0.0081466395112016,0.0,-0.05714285714285714,1,0,0
08/1980,49.9,47.6,expansion,0.008080808080808051,0.02044989775051125,-0.04770992366412214,1,1,0
09/1980,50.3,48.0,expansion,0.008016032064128228,0.0244399185336048,-0.015655577299412998,1,1,0
10/1980,50.7,48.5,expansion,0.007952286282306277,0.0242424242424243,0.0242424242424243,1,1,1
11/1980,50.8,48.8,expansion,0.001972386587771091,0.01803607214428855,0.038854805725971345,1,1,1
12/1980,50.5,49.0,expansion,-0.0059055118110235665,0.003976143141153138,0.028513238289205673,0,1,1
01/1981,49.9,48.9,expansion,-0.011881188118811909,-0.01577909270216971,0.008080808080808051,0,0,1
02/1981,49.6,48.8,expansion,-0.006012024048096136,-0.023622047244094405,-0.006012024048096136,0,0,0
03/1981,49.7,48.8,expansion,0.002016129032258093,-0.015841584158415786,-0.011928429423459131,1,0,0
04/1981,50.0,48.8,expansion,0.00603621730382288,0.0020040080160320926,-0.013806706114398477,1,1,0
05/1981,49.7,48.9,expansion,-0.005999999999999943,0.002016129032258093,-0.021653543307086503,0,1,0
06/1981,49.3,49.0,expansion,-0.008048289738430697,-0.008048289738430697,-0.023762376237623818,0,0,0
07/1981,48.9,49.3,expansion,-0.008113590263691656,-0.02200000000000003,-0.02004008016032064,0,0,0
08/1981,48.7,49.3,contraction,-0.004089979550102162,-0.02012072434607646,-0.01814516129032255,0,0,0
09/1981,48.1,49.2,contraction,-0.012320328542094484,-0.024340770791074967,-0.03219315895372236,0,0,0
10/1981,47.7,48.9,contraction,-0.008316008316008287,-0.02453987730061341,-0.045999999999999944,0,0,0
11/1981,47.6,48.7,contraction,-0.0020964360587002392,-0.022587268993839865,-0.04225352112676059,0,0,0
12/1981,47.4,48.5,contraction,-0.004201680672268967,-0.014553014553014611,-0.03853955375253547,0,0,0
01/1982,46.9,48.1,contraction,-0.010548523206751054,-0.016771488469601765,-0.0408997955010225,0,0,0
02/1982,47.2,48.5,contraction,0.006396588486140816,-0.008403361344537785,-0.030800821355236138,1,0,0
03/1982,46.9,48.4,contraction,-0.00635593220338992,-0.010548523206751054,-0.024948024948025005,0,0,0
04/1982,46.9,48.4,contraction,0.0,0.0,-0.016771488469601765,0,0,0
05/1982,46.7,48.3,contraction,-0.0042643923240937255,-0.01059322033898305,-0.018907563025210055,0,0,0
06/1982,46.4,48.1,contraction,-0.006423982869379106,-0.010660980810234541,-0.02109704641350211,0,0,0
07/1982,46.5,47.9,contraction,0.002155172413793134,-0.008528784648187604,-0.008528784648187604,1,0,0
08/1982,46.1,47.8,contraction,-0.008602150537634377,-0.01284796573875806,-0.02330508474576274,0,0,0
09/1982,46.5,47.7,contraction,0.008676789587852464,0.002155172413793134,-0.008528784648187604,1,1,0
10/1982,46.7,47.4,contraction,0.004301075268817265,0.004301075268817265,-0.0042643923240937255,1,1,0
11/1982,46.9,47.4,contraction,0.004282655246252585,0.017353579175704927,0.004282655246252585,1,1,1
12/1982,47.3,47.4,expansion,0.008528784648187604,0.017204301075268755,0.0193965517241379,1,1,1
01/1983,48.1,47.8,expansion,0.016913319238900725,0.029978586723768703,0.03440860215053766,1,1,1
02/1983,48.7,47.7,expansion,0.012474012474012502,0.03837953091684444,0.05639913232104125,1,1,1
