month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Jul-72,50.3,39.5,expansion,0.013916501,0.031959885,0.054444905,1,1,1,dark green,0.0
Ago-72,51.0,39.9,expansion,0.013916501,0.031322855,0.054422627,1,1,1,dark green,-2.2278000000000575e-05
Set-72,51.6,40.2,expansion,0.011764706,0.030759583,0.053431162,1,1,1,dark green,-0.0009914650000000039
Oct-72,52.0,40.7,expansion,0.007751938,0.033797217,0.055480926,1,1,1,dark green,0.0020497640000000025
Nov-72,52.5,41.0,expansion,0.009615385,0.029411765,0.054355793,1,1,1,dark green,-0.0011251330000000004
Dic-72,53.1,41.4,expansion,0.011428571,0.029069767,0.050456767,1,1,1,dark green,-0.003899026
Ene-73,53.4,41.5,expansion,0.005649718,0.026923077,0.061630219,1,1,1,dark green,0.011173452
Feb-73,53.6,41.7,expansion,0.003745318,0.020952381,0.050980392,1,1,1,dark green,-0.010649827
Mar-73,53.6,41.8,expansion,0.0,0.009416196,0.03875969,0,1,1,dark green,-0.012220702
Abr-73,53.3,41.8,expansion,-0.005597015,-0.001872659,0.025,0,0,1,dark green,-0.013759689999999998
May-73,53.3,41.9,expansion,0.0,-0.005597015,0.015238095,0,0,1,orange,-0.009761905000000001
Jun-73,53.2,42.0,expansion,-0.001876173,-0.007462687,0.001883239,0,0,1,orange,-0.013354856
Jul-73,52.9,42.2,expansion,-0.005639098,-0.00750469,-0.009363296,0,0,0,orange,-0.011246535
Ago-73,52.4,42.0,expansion,-0.009451796,-0.016885553,-0.02238806,0,0,0,orange,-0.013024764000000001
Set-73,52.2,42.2,expansion,-0.003816794,-0.018796992,-0.026119403,0,0,0,orange,-0.003731342999999998
Oct-73,52.1,42.7,expansion,-0.001915709,-0.015122873,-0.022514071,0,0,0,orange,0.0036053319999999993
Nov-73,51.8,42.9,expansion,-0.005758157,-0.011450382,-0.028142589,0,0,0,orange,-0.005628517999999999
Dic-73,51.2,42.8,contraction,-0.011583012,-0.019157088,-0.037593985,0,0,0,red,-0.009451396000000004
Ene-74,51.0,42.6,contraction,-0.00390625,-0.021113244,-0.035916824,0,0,0,red,0.0016771610000000034
Feb-74,50.6,42.5,contraction,-0.007843137,-0.023166023,-0.034351145,0,0,0,red,0.0015656790000000004
Mar-74,50.5,42.4,contraction,-0.001976285,-0.013671875,-0.03256705,0,0,0,red,0.0017840949999999994
Abr-74,49.8,42.3,contraction,-0.013861386,-0.023529412,-0.044145873,0,0,0,red,-0.011578823000000002
May-74,49.6,42.4,contraction,-0.004016064,-0.019762846,-0.042471042,0,0,0,red,0.0016748310000000016
Jun-74,49.1,42.4,contraction,-0.010080645,-0.027722772,-0.041015625,0,0,0,red,0.0014554170000000005
Jul-74,48.5,42.4,contraction,-0.012219959,-0.026104418,-0.049019608,0,0,0,red,-0.008003983
Ago-74,47.7,42.2,contraction,-0.016494845,-0.038306452,-0.057312253,0,0,0,red,-0.008292645000000001
