month;close;color
Ene-85;179.63;dark green
Feb-85;181.18;dark green
Mar-85;180.66;dark green
Abr-85;179.83;dark green
May-85;189.55;dark green
Jun-85;191.85;dark green
Jul-85;190.92;dark green
Ago-85;188.63;dark green
Set-85;182.08;dark green
Oct-85;189.82;dark green
Nov-85;202.17;dark green
Dic-85;211.28;dark green
Ene-86;211.78;dark green
Feb-86;226.92;dark green
Mar-86;238.9;dark green
Abr-86;235.52;dark green
May-86;247.35;dark green
Jun-86;250.84;dark green
Jul-86;236.12;dark green
Ago-86;252.93;dark green
Set-86;231.32;dark green
Oct-86;243.98;dark green
Nov-86;249.22;dark green
Dic-86;242.17;dark green
Ene-87;274.08;dark green
Feb-87;284.2;dark green
Mar-87;291.7;dark green
Abr-87;288.36;dark green
May-87;290.1;dark green
Jun-87;304;dark green
Jul-87;318.66;dark green
Ago-87;329.8;dark green
Set-87;321.83;dark green
Oct-87;251.79;dark green
Nov-87;230.3;dark green
Dic-87;247.08;dark green
Ene-88;257.07;dark green
Feb-88;267.82;dark green
Mar-88;258.89;dark green
Abr-88;261.33;dark green
May-88;262.16;dark green
Jun-88;273.5;dark green
Jul-88;272.02;dark green
Ago-88;261.52;dark green
Set-88;271.91;dark green
Oct-88;278.97;dark green
Nov-88;273.7;dark green
Dic-88;277.72;dark green
Ene-89;297.47;dark green
Feb-89;288.86;dark green
Mar-89;294.87;dark green
Abr-89;309.64;dark green
May-89;320.52;dark green
Jun-89;317.98;orange
Jul-89;346.08;orange
Ago-89;351.45;orange
Set-89;349.15;orange
Oct-89;340.36;orange
Nov-89;345.99;orange
Dic-89;353.4;orange
Ene-90;329.08;orange
Feb-90;331.89;orange
Mar-90;339.94;orange
Abr-90;330.8;orange
May-90;361.23;orange
Jun-90;358.02;orange
Jul-90;356.15;orange
Ago-90;322.56;orange
Set-90;306.05;red
Oct-90;304;red
Nov-90;322.22;red
Dic-90;330.22;red
Ene-91;343.93;red
Feb-91;367.07;red
Mar-91;375.22;red
Abr-91;375.34;light green
May-91;389.83;light green
Jun-91;371.16;light green
Jul-91;387.81;light green
Ago-91;395.43;light green
Set-91;387.86;light green
Oct-91;392.45;light green
Nov-91;375.22;light green
Dic-91;417.09;light green
Ene-92;408.78;dark green
Feb-92;412.7;dark green
Mar-92;403.69;dark green
Abr-92;414.95;dark green
May-92;415.35;dark green
Jun-92;408.14;dark green
Jul-92;424.21;dark green
Ago-92;414.03;dark green
Set-92;417.8;dark green
Oct-92;418.68;dark green
Nov-92;431.35;dark green
Dic-92;435.71;dark green
Ene-93;438.78;dark green
Feb-93;443.38;dark green
Mar-93;451.67;dark green
Abr-93;440.19;dark green
May-93;450.19;dark green
Jun-93;450.53;dark green
Jul-93;448.13;dark green
Ago-93;463.56;dark green
Set-93;458.93;dark green
Oct-93;467.83;dark green
Nov-93;461.79;dark green
Dic-93;466.45;dark green
Ene-94;481.61;dark green
Feb-94;467.14;dark green
Mar-94;445.77;dark green
Abr-94;450.91;dark green
May-94;456.5;dark green
Jun-94;444.27;dark green
Jul-94;458.26;dark green
Ago-94;475.49;dark green
Set-94;462.71;dark green
Oct-94;472.35;dark green
Nov-94;453.69;dark green
Dic-94;459.27;dark green
Ene-95;470.42;dark green
Feb-95;487.39;dark green
Mar-95;500.71;dark green
Abr-95;514.71;dark green
May-95;533.4;dark green
Jun-95;544.75;dark green
Jul-95;562.06;dark green
Ago-95;561.88;dark green
Set-95;584.41;dark green
Oct-95;581.5;dark green
Nov-95;605.37;dark green
Dic-95;615.93;dark green
