Period,Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
1,01/10/1975,dark green,0.010731935,,,,,,
1,02/10/1975,dark green,0.010731935,,,,,,
1,03/10/1975,dark green,0.025411564,,,,,,
1,06/10/1975,dark green,0.010820248,,,,,,
1,07/10/1975,dark green,-0.001266121,,,,,,
1,08/10/1975,dark green,0.01348399,,,,,,
1,09/10/1975,dark green,0.004889701,,,,,,
1,10/10/1975,dark green,-0.001810611,,,,,,
1,13/10/1975,dark green,0.014170729,,,,,,
1,14/10/1975,dark green,-0.002012076,,,,,,
1,15/10/1975,dark green,-0.000559985,,,,,,
1,16/10/1975,dark green,0.001568972,,,,,,
1,17/10/1975,dark green,-0.005706637,,,,,,
1,20/10/1975,dark green,0.010803501,,,,,,
1,21/10/1975,dark green,0.008238676,,,,,,
1,22/10/1975,dark green,0.001656377,,,,,,
1,23/10/1975,dark green,0.005842782,,,,,,
1,24/10/1975,dark green,-0.015453705,,,,,,
1,27/10/1975,dark green,-0.001113197,,,,,,
1,28/10/1975,dark green,0.008692731,,,,,,
1,29/10/1975,dark green,-0.012374353,,,,,,
1,30/10/1975,dark green,-0.000894975,,,,,,
1,31/10/1975,dark green,-0.00302314,,,,,,
1,03/11/1975,dark green,-0.010669413,,,,,,
1,04/11/1975,dark green,0.004767917,,,,,,
1,05/11/1975,dark green,0.007230814,,,,,,
1,06/11/1975,dark green,0.004486837,,,,,,
1,07/11/1975,dark green,-0.002456742,,,,,,
1,10/11/1975,dark green,0.000111883,,,,,,
1,11/11/1975,dark green,0.005932465,,,,,,
1,12/11/1975,dark green,0.014687879,,,,,,
1,13/11/1975,dark green,-0.001644934,,,,,,
1,14/11/1975,dark green,-0.000768889,,,,,,
1,17/11/1975,dark green,0.005386368,,,,,,
1,18/11/1975,dark green,-0.005029511,,,,,,
1,19/11/1975,dark green,-0.011208754,,,,,,
1,20/11/1975,dark green,-0.003778661,,,,,,
1,21/11/1975,dark green,-0.001227138,,,,,,
1,24/11/1975,dark green,0.001898784,,,,,,
1,25/11/1975,dark green,0.011259779,,,,,,
1,26/11/1975,dark green,0.00253559,,,,,,
1,28/11/1975,dark green,0.003298828,,,,,,
1,01/12/1975,dark green,-0.006247257,,,,,,
