Period,Date,stage,GSPC,IXIC,DJI,IWM,d_GSPC,d_IXIC,d_DJI,d_IWM
1,01/10/1975,dark green,82.93000031,73.80000305,,,0.010731935,0.004878057,,
1,02/10/1975,dark green,83.81999969,74.16000366,,,0.010731935,0.004878057,,
1,03/10/1975,dark green,85.94999695,75.5,,,0.025411564,0.01806899,,
1,06/10/1975,dark green,86.87999725,76.02999878,,,0.010820248,0.007019851,,
1,07/10/1975,dark green,86.76999664,75.87999725,,,-0.001266121,-0.001972926,,
1,08/10/1975,dark green,87.94000244,76.61000061,,,0.01348399,0.009620498,,
1,09/10/1975,dark green,88.37000275,76.87000275,,,0.004889701,0.003393841,,
1,10/10/1975,dark green,88.20999908,76.95999908,,,-0.001810611,0.00117076,,
1,13/10/1975,dark green,89.45999908,77.69999695,,,0.014170729,0.009615357,,
1,14/10/1975,dark green,89.27999878,78.19000244,,,-0.002012076,0.006306377,,
1,15/10/1975,dark green,89.23000336,78.19999695,,,-0.000559985,0.000127823,,
1,16/10/1975,dark green,89.37000275,78.22000122,,,0.001568972,0.000255809,,
1,17/10/1975,dark green,88.86000061,77.62999725,,,-0.005706637,-0.007542879,,
1,20/10/1975,dark green,89.81999969,78.12999725,,,0.010803501,0.006440809,,
1,21/10/1975,dark green,90.55999756,78.43000031,,,0.008238676,0.003839794,,
1,22/10/1975,dark green,90.70999908,78.91000366,,,0.001656377,0.00612015,,
1,23/10/1975,dark green,91.23999786,78.05999756,,,0.005842782,-0.010771842,,
1,24/10/1975,dark green,89.83000183,78.62000275,,,-0.015453705,0.007174035,,
1,27/10/1975,dark green,89.73000336,78.29000092,,,-0.001113197,-0.004197428,,
1,28/10/1975,dark green,90.51000214,78.73000336,,,0.008692731,0.005620161,,
1,29/10/1975,dark green,89.38999939,77.58000183,,,-0.012374353,-0.014606903,,
1,30/10/1975,dark green,89.30999756,77.44999695,,,-0.000894975,-0.001675752,,
1,31/10/1975,dark green,89.04000092,76.98999786,,,-0.00302314,-0.005939304,,
1,03/11/1975,dark green,88.08999634,76.62000275,,,-0.010669413,-0.004805756,,
1,04/11/1975,dark green,88.51000214,76.86000061,,,0.004767917,0.003132313,,
1,05/11/1975,dark green,89.15000153,77.30000305,,,0.007230814,0.005724726,,
1,06/11/1975,dark green,89.55000305,77.38999939,,,0.004486837,0.001164248,,
1,07/11/1975,dark green,89.33000183,77.20999908,,,-0.002456742,-0.002325886,,
1,10/11/1975,dark green,89.33999634,77.45999908,,,0.000111883,0.003237923,,
1,11/11/1975,dark green,89.87000275,78,,,0.005932465,0.006971352,,
1,12/11/1975,dark green,91.19000244,79.26999664,,,0.014687879,0.016282008,,
1,13/11/1975,dark green,91.04000092,79.22000122,,,-0.001644934,-0.000630698,,
1,14/11/1975,dark green,90.97000122,78.98000336,,,-0.000768889,-0.003029511,,
1,17/11/1975,dark green,91.45999908,79.09999847,,,0.005386368,0.00151931,,
1,18/11/1975,dark green,91,78.62000275,,,-0.005029511,-0.006068214,,
1,19/11/1975,dark green,89.98000336,77.87000275,,,-0.011208754,-0.009539557,,
1,20/11/1975,dark green,89.63999939,77.66999817,,,-0.003778661,-0.002568442,,
1,21/11/1975,dark green,89.52999878,77.73999786,,,-0.001227138,0.000901245,,
1,24/11/1975,dark green,89.69999695,77.91999817,,,0.001898784,0.002315414,,
1,25/11/1975,dark green,90.70999908,78.18000031,,,0.011259779,0.003336783,,
1,26/11/1975,dark green,90.94000244,78.55999756,,,0.00253559,0.004860543,,
1,28/11/1975,dark green,91.23999786,78.80000305,,,0.003298828,0.00305506,,
1,01/12/1975,dark green,90.66999817,78.66000366,,,-0.006247257,-0.001776642,,
1,02/12/1975,dark green,89.33000183,77.33000183,,,-0.014778828,-0.016908235,,
1,03/12/1975,dark green,87.59999847,75.66999817,,,-0.019366431,-0.021466489,,
1,04/12/1975,dark green,87.83999634,75.19999695,,,0.002739702,-0.006211196,,
1,05/12/1975,dark green,86.81999969,74.72000122,,,-0.011611984,-0.006382922,,
1,08/12/1975,dark green,87.06999969,74.91999817,,,0.002879521,0.002676619,,
1,09/12/1975,dark green,87.30000305,74.51999664,,,0.002641591,-0.005339049,,
1,10/12/1975,dark green,88.08000183,75.25,,,0.008934694,0.009796073,,
1,11/12/1975,dark green,87.80000305,75.08000183,,,-0.003178914,-0.002259112,,
1,12/12/1975,dark green,87.83000183,74.91000366,,,0.000341672,-0.002264227,,
1,15/12/1975,dark green,88.08999634,74.54000092,,,0.002960202,-0.004939297,,
1,16/12/1975,dark green,88.93000031,75.19000244,,,0.009535748,0.008720171,,
1,17/12/1975,dark green,89.15000153,75.80000305,,,0.00247387,0.008112789,,
1,18/12/1975,dark green,89.43000031,76.06999969,,,0.00314076,0.003561961,,
1,19/12/1975,dark green,88.80000305,75.91999817,,,-0.007044585,-0.001971888,,
1,22/12/1975,dark green,88.13999939,75.58999634,,,-0.007432473,-0.004346705,,
1,23/12/1975,dark green,88.73000336,75.87999725,,,0.006693941,0.003836499,,
1,24/12/1975,dark green,89.45999908,76.37000275,,,0.008227158,0.006457637,,
1,26/12/1975,dark green,90.25,77.12999725,,,0.008830773,0.009951479,,
1,29/12/1975,dark green,90.12999725,76.94000244,,,-0.00132967,-0.002463306,,
1,30/12/1975,dark green,89.76999664,76.66999817,,,-0.003994237,-0.003509283,,
1,31/12/1975,dark green,90.19000244,77.62000275,,,0.004678688,0.012390826,,
1,02/01/1976,dark green,90.90000153,78.05999756,,,0.007872259,0.005668575,,
1,05/01/1976,dark green,92.58000183,78.76000214,,,0.018481851,0.00896752,,
1,06/01/1976,dark green,93.52999878,80.26999664,,,0.010261362,0.019172098,,
1,07/01/1976,dark green,93.94999695,80.98999786,,,0.004490518,0.008969743,,
1,08/01/1976,dark green,94.58000183,81.65000153,,,0.006705747,0.0081492,,
1,09/01/1976,dark green,94.94999695,82.30999756,,,0.00391198,0.008083234,,
1,12/01/1976,dark green,96.33000183,82.70999908,,,0.014534017,0.004859695,,
1,13/01/1976,dark green,95.56999969,82.41999817,,,-0.007889568,-0.003506238,,
1,14/01/1976,dark green,97.12999725,83.62000275,,,0.016323088,0.014559629,,
1,15/01/1976,dark green,96.61000061,83.73000336,,,-0.005353615,0.001315482,,
1,16/01/1976,dark green,97,84.30000305,,,0.004036843,0.006807592,,
1,19/01/1976,dark green,98.31999969,84.73000336,,,0.013608244,0.005100834,,
1,20/01/1976,dark green,98.86000061,84.90000153,,,0.00549228,0.002006352,,
1,21/01/1976,dark green,98.23999786,84.94999695,,,-0.006271523,0.000588874,,
1,22/01/1976,dark green,98.04000092,84.62000275,,,-0.0020358,-0.00388457,,
1,23/01/1976,dark green,99.20999908,85.26000214,,,0.011933886,0.007563216,,
1,26/01/1976,dark green,99.68000031,85.05000305,,,0.004737438,-0.002463043,,
1,27/01/1976,dark green,99.06999969,84.76000214,,,-0.006119589,-0.00340977,,
1,28/01/1976,dark green,98.52999878,84.62999725,,,-0.005450701,-0.0015338,,
1,29/01/1976,dark green,100.1100006,86.15000153,,,0.016035744,0.017960585,,
1,30/01/1976,dark green,100.8600006,87.05000305,,,0.007491759,0.010446912,,
1,02/02/1976,dark green,100.8700027,87.27999878,,,9.91682E-05,0.002642111,,
1,03/02/1976,dark green,101.1800003,87.37999725,,,0.003073239,0.00114572,,
1,04/02/1976,dark green,101.9100037,88.44999695,,,0.007214898,0.012245362,,
1,05/02/1976,dark green,100.3899994,88.01999664,,,-0.014915163,-0.004861507,,
1,06/02/1976,dark green,99.45999908,87.25,,,-0.009263874,-0.008747974,,
1,09/02/1976,dark green,99.62000275,87.83000183,,,0.001608724,0.006647585,,
1,10/02/1976,dark green,100.4700012,87.94999695,,,0.008532407,0.00136622,,
1,11/02/1976,dark green,100.7699966,88.69000244,,,0.00298592,0.008413934,,
