Date,stage,d_GSPC,d_IXIC,d_DJI,d_IWM
01/08/2000,orange,0.005080981,-0.021627339,0.00807545,0.001564966
02/08/2000,orange,0.0004172,-0.007342263,0.007596912,0.001564966
03/08/2000,orange,0.009633772,0.027722026,0.001782433,-0.000624968
04/08/2000,orange,0.007139116,0.007308804,0.005713301,0.005003071
07/08/2000,orange,0.011203469,0.019969024,0.009218246,0.018513014
08/08/2000,orange,0.002352502,-0.003738022,0.010111326,-0.004735244
09/08/2000,orange,-0.006696826,0.001286186,-0.006473561,-0.00721314
10/08/2000,orange,-0.008568302,-0.024266254,0.000268635,-0.005719291
11/08/2000,orange,0.007936974,0.007840441,0.010912334,0.017411628
14/08/2000,orange,0.013398259,0.015891397,0.013451446,0.010392362
15/08/2000,orange,-0.004780233,0.000511722,-0.009765416,-0.014519092
16/08/2000,orange,-0.003085412,0.002476864,-0.005295956,0.004910734
17/08/2000,orange,0.01096055,0.020633525,0.004292181,0.009163426
18/08/2000,orange,-0.002907601,-0.002672006,-0.000828462,-0.001513731
21/08/2000,orange,0.005202055,0.005803522,0.003017169,0.003637871
22/08/2000,orange,-0.000900295,0.001280007,0.005355762,-0.001510138
23/08/2000,orange,0.005233168,0.013339376,0.000493754,-0.001512422
24/08/2000,orange,0.001553874,0.010538498,0.003417769,0.014843712
25/08/2000,orange,-0.00123324,-0.00261519,0.000884367,0.004179472
28/08/2000,orange,0.005071536,0.006903875,0.005379429,0.001783789
29/08/2000,orange,-0.002806967,0.002844756,-0.003353841,0.009495441
30/08/2000,orange,-0.004801833,0.005301136,-0.009994547,0.001175814
31/08/2000,orange,0.010042718,0.024986546,0.010095446,0.009982343
01/09/2000,orange,0.00203598,0.006651843,0.002111498,0.008139207
05/09/2000,orange,-0.009002061,-0.021526404,0.001942389,-0.006920433
06/09/2000,orange,-0.009840192,-0.031338267,0.004442859,-0.004355365
07/09/2000,orange,0.00687553,0.021181861,-0.004488652,0.014873132
08/09/2000,orange,-0.005331086,-0.029265481,-0.003483142,-0.017241331
11/09/2000,orange,-0.003506183,-0.020626284,-0.002242309,0.001169815
12/09/2000,orange,-0.004881632,-0.01202153,0.003371022,-0.00321226
13/09/2000,orange,0.001970353,0.01152871,-0.004544621,0.0049806
14/09/2000,orange,-0.00272073,0.005128603,-0.008469723,0.005830601
15/09/2000,orange,-0.010169654,-0.020090173,-0.01447307,-0.018550334
18/09/2000,orange,-0.014531248,-0.028345095,-0.010842909,-0.023626911
19/09/2000,orange,0.010654141,0.037332383,-0.001779105,0.016333978
20/09/2000,orange,-0.005863455,0.008226335,-0.009395439,-0.007945998
21/09/2000,orange,-0.001577795,-0.017593555,0.007260497,-0.018663582
22/09/2000,orange,-0.000227789,-0.006558098,0.007603032,0.012883813
25/09/2000,orange,-0.006688623,-0.016441636,-0.003615598,0.001210749
26/09/2000,orange,-0.008213913,-0.013931251,-0.016360809,-0.014216352
27/09/2000,orange,-0.000448438,-0.00889107,-0.000278419,-0.004602405
28/09/2000,orange,0.022235217,0.03337254,0.018412927,0.027126908
29/09/2000,orange,-0.01493532,-0.027922462,-0.015995815,-0.004801825
02/10/2000,orange,-0.000194938,-0.02829438,0.004620254,-0.016284903
03/10/2000,orange,-0.006802545,-0.031681982,0.001832721,-0.014561754
04/10/2000,orange,0.005510134,0.019465662,0.006039348,0.006999732
05/10/2000,orange,0.001366559,-0.014475887,-0.005522802,-0.010194365
06/10/2000,orange,-0.0190005,-0.031995071,-0.011970241,-0.024345
09/10/2000,orange,-0.004939681,-0.001621522,-0.002652786,-0.002239246
10/10/2000,orange,-0.010705911,-0.034277443,-0.004166116,-0.024046089
11/10/2000,orange,-0.016171399,-0.022233964,-0.010509896,-0.003284806
12/10/2000,orange,-0.025509448,-0.029607181,-0.036414212,-0.030323167
13/10/2000,orange,0.033381472,0.078736679,0.015705651,0.038748469
16/10/2000,orange,0.000327435,-0.007986683,0.004574106,0.007853622
17/10/2000,orange,-0.017932246,-0.023195615,-0.014561261,-0.025161676
18/10/2000,orange,-0.005807511,-0.013192418,-0.011367069,-0.008160804
19/10/2000,orange,0.034743285,0.077892278,0.016838156,0.030893952
20/10/2000,orange,0.005882978,0.018879013,0.008243077,0.012703335
23/10/2000,orange,-0.000823252,-0.004148542,0.004412995,0.009971225
24/10/2000,orange,0.001683629,-0.014097513,0.011814047,-0.014649608
25/10/2000,orange,-0.023767447,-0.055623289,-0.006407138,-0.022301324
26/10/2000,orange,-0.000337082,0.013193665,0.005194379,0.015537154
27/10/2000,orange,0.011096139,0.001888703,0.020279149,0.000650699
30/10/2000,orange,0.013830353,-0.02652552,0.023147786,0.004554461
31/10/2000,orange,0.021978171,0.055846959,0.012492894,0.025906854
01/11/2000,orange,-0.005722718,-0.010754887,-0.006532587,0.00063139
02/11/2000,orange,0.00499569,0.028688551,-0.00173953,0.023974516
03/11/2000,orange,-0.001141204,0.006579156,-0.005749691,-0.001231937
06/11/2000,orange,0.003855077,-0.010247515,0.014721806,-0.007711129
07/11/2000,orange,-0.000223396,-0.00012292,-0.002280203,0.008392825
08/11/2000,orange,-0.015776548,-0.053893854,-0.004119739,-0.01787894
09/11/2000,orange,-0.006485591,-0.009700731,-0.006675454,-0.010672171
10/11/2000,orange,-0.024397585,-0.053544176,-0.021348944,-0.025380619
13/11/2000,orange,-0.010776124,-0.020558014,-0.008082675,-0.010090793
14/11/2000,orange,0.023452142,0.05782482,0.015575323,0.024004981
15/11/2000,orange,0.004960489,0.008673559,0.002484776,0.012845426
16/11/2000,orange,-0.012584535,-0.042208349,-0.004816144,-0.029011172
17/11/2000,orange,-0.00335197,-0.001546876,-0.002454962,0.00636807
20/11/2000,orange,-0.018351692,-0.050062946,-0.015731117,-0.025957689
21/11/2000,orange,0.003522948,-0.001457047,0.003044124,-0.005829024
22/11/2000,orange,-0.018547513,-0.04043597,-0.009069483,-0.020941955
24/11/2000,orange,0.014678329,0.054091252,0.00681873,0.028063061
27/11/2000,orange,0.00536601,-0.008225471,0.007243378,0.002829312
28/11/2000,orange,-0.009548029,-0.050515715,-0.003649722,-0.030041338
29/11/2000,orange,0.004371029,-0.010256034,0.011565962,-0.002737962
30/11/2000,orange,-0.020105447,-0.040267019,-0.020191729,-0.021276854
01/12/2000,red,0.000212958,0.01822994,-0.00393204,0.02244052
04/12/2000,red,0.007405542,-0.011167032,0.018066172,-0.010973387
05/12/2000,red,0.038921688,0.104769205,0.031982873,0.048543518
06/12/2000,red,-0.01821965,-0.032285988,-0.021501594,-0.023147642
07/12/2000,red,-0.005852864,-0.01567677,-0.004409026,-0.002708739
08/12/2000,red,0.019604752,0.059858473,0.008999394,0.013577295
11/12/2000,red,0.007526105,0.033478153,0.001203188,0.045546232
12/12/2000,red,-0.00653521,-0.027637583,0.003959586,-0.021780967
13/12/2000,red,-0.008160901,-0.037178905,0.002430372,-0.018621977
14/12/2000,red,-0.014014762,-0.033392735,-0.0110659,-0.015920534
15/12/2000,red,-0.021462738,-0.027575486,-0.022485292,-0.005449306
18/12/2000,red,0.008070698,-0.010835686,0.020168737,0.01506828
19/12/2000,red,-0.012957962,-0.04298312,-0.005734842,-0.017543892
20/12/2000,red,-0.031295946,-0.071238294,-0.025078529,-0.031594326
21/12/2000,red,0.008001641,0.003146498,0.01631568,0.007802576
22/12/2000,red,0.024386965,0.075594369,0.014138021,0.041520213
26/12/2000,red,0.007075302,-0.009336437,0.005348177,0.005743097
27/12/2000,red,0.010439635,0.018379671,0.010354954,0.026535989
28/12/2000,red,0.003988146,0.007249852,0.006072261,0.032068815
