Period;Date;stage;GSPC;SHY;IEF;TLT;GLD;DBC;IGLB
1;1/04/1975;light green;-0.002541131;;;;;;
1;2/04/1975;light green;-0.002541131;;;;;;
1;3/04/1975;light green;-0.011160963;;;;;;
1;4/04/1975;light green;-0.007729173;;;;;;
1;7/04/1975;light green;-0.006552903;;;;;;
1;8/04/1975;light green;0.007965145;;;;;;
1;9/04/1975;light green;0.022842308;;;;;;
1;10/04/1975;light green;0.011226465;;;;;;
1;11/04/1975;light green;0.004894398;;;;;;
1;14/04/1975;light green;0.016868593;;;;;;
1;15/04/1975;light green;0.008177624;;;;;;
1;16/04/1975;light green;0.003476192;;;;;;
1;17/04/1975;light green;0.007505791;;;;;;
1;18/04/1975;light green;-0.010888217;;;;;;
1;21/04/1975;light green;0.010776365;;;;;;
1;22/04/1975;light green;-0.001605033;;;;;;
1;23/04/1975;light green;-0.01113783;;;;;;
1;24/04/1975;light green;-0.000928958;;;;;;
1;25/04/1975;light green;0.006741072;;;;;;
1;28/04/1975;light green;-0.004502417;;;;;;
1;29/04/1975;light green;-0.006842212;;;;;;
1;30/04/1975;light green;0.019383509;;;;;;
1;1/05/1975;light green;0.00916375;;;;;;
1;2/05/1975;light green;0.012712858;;;;;;
1;5/05/1975;light green;0.009639101;;;;;;
1;6/05/1975;light green;-0.015985817;;;;;;
1;7/05/1975;light green;0.004963926;;;;;;
1;8/05/1975;light green;0.005388367;;;;;;
1;9/05/1975;light green;0.010830742;;;;;;
1;12/05/1975;light green;0.000883705;;;;;;
1;13/05/1975;light green;0.010705234;;;;;;
1;14/05/1975;light green;0.007534339;;;;;;
1;15/05/1975;light green;-0.009320397;;;;;;
1;16/05/1975;light green;-0.010720964;;;;;;
1;19/05/1975;light green;0.001105811;;;;;;
1;20/05/1975;light green;-0.005081179;;;;;;
1;21/05/1975;light green;-0.011213524;;;;;;
1;22/05/1975;light green;0.003705388;;;;;;
1;23/05/1975;light green;0.013312478;;;;;;
1;27/05/1975;light green;-0.002649652;;;;;;
1;28/05/1975;light green;-0.006973625;;;;;;
1;29/05/1975;light green;-0.000334397;;;;;;
1;30/05/1975;light green;0.016391628;;;;;;
1;2/06/1975;light green;0.015688429;;;;;;
1;3/06/1975;light green;0.003348429;;;;;;
1;4/06/1975;light green;-0.003121982;;;;;;
1;5/06/1975;light green;0.000971965;;;;;;
1;6/06/1975;light green;-0.002265607;;;;;;
1;9/06/1975;light green;-0.013732745;;;;;;
1;10/06/1975;light green;-0.00844202;;;;;;
1;11/06/1975;light green;0.001216283;;;;;;
1;12/06/1975;light green;-0.005190516;;;;;;
1;13/06/1975;light green;0.004884489;;;;;;
1;16/06/1975;light green;0.010384473;;;;;;
1;17/06/1975;light green;-0.009621663;;;;;;
1;18/06/1975;light green;-0.00209762;;;;;;
1;19/06/1975;light green;0.018032938;;;;;;
1;20/06/1975;light green;0.006411693;;;;;;
1;23/06/1975;light green;0.010905973;;;;;;
1;24/06/1975;light green;0.006088439;;;;;;
1;25/06/1975;light green;0.004565244;;;;;;
1;26/06/1975;light green;0.002007977;;;;;;
1;27/06/1975;light green;0;;;;;;
1;30/06/1975;light green;0.004008068;;;;;;
1;1/07/1975;light green;-0.003571845;;;;;;
1;2/07/1975;light green;-0.007063766;;;;;;
1;3/07/1975;light green;0.001911237;;;;;;
1;7/07/1975;light green;-0.00869012;;;;;;
1;8/07/1975;light green;-0.001603608;;;;;;
1;9/07/1975;light green;0.015098016;;;;;;
1;10/07/1975;light green;0.000105427;;;;;;
1;11/07/1975;light green;-0.001582047;;;;;;
1;14/07/1975;light green;0.005598973;;;;;;
1;15/07/1975;light green;0.004412209;;;;;;
1;16/07/1975;light green;-0.010459157;;;;;;
1;17/07/1975;light green;-0.010358349;;;;;;
1;18/07/1975;light green;-0.004592548;;;;;;
1;21/07/1975;light green;-0.008154448;;;;;;
1;22/07/1975;light green;-0.010709709;;;;;;
1;23/07/1975;light green;-0.013887334;;;;;;
1;24/07/1975;light green;-0.00121979;;;;;;
1;25/07/1975;light green;-0.008659918;;;;;;
1;28/07/1975;light green;-0.00671966;;;;;;
1;29/07/1975;light green;-0.005637614;;;;;;
1;30/07/1975;light green;0.007257052;;;;;;
1;31/07/1975;light green;-0.000900617;;;;;;
1;1/08/1975;light green;-0.008563404;;;;;;
1;4/08/1975;light green;-0.009546498;;;;;;
1;5/08/1975;light green;-0.010556491;;;;;;
1;6/08/1975;light green;0.000231899;;;;;;
1;7/08/1975;light green;0.000579746;;;;;;
1;8/08/1975;light green;-0.00324457;;;;;;
1;11/08/1975;light green;0.006161433;;;;;;
1;12/08/1975;light green;0.006585785;;;;;;
1;13/08/1975;light green;-0.013200201;;;;;;
1;14/08/1975;light green;-0.004303859;;;;;;
1;15/08/1975;light green;0.00887853;;;;;;
1;18/08/1975;light green;-0.001852752;;;;;;
1;19/08/1975;light green;-0.014501161;;;;;;
1;20/08/1975;light green;-0.020364871;;;;;;
1;21/08/1975;light green;-0.00180247;;;;;;
1;22/08/1975;light green;0.014566018;;;;;;
1;25/08/1975;light green;0.00925485;;;;;;
1;26/08/1975;light green;-0.01293203;;;;;;
1;27/08/1975;light green;0.005597918;;;;;;
1;28/08/1975;light green;0.023332953;;;;;;
1;29/08/1975;light green;0.005555506;;;;;;
1;2/09/1975;light green;-0.016114111;;;;;;
1;3/09/1975;light green;0.0064342;;;;;;
1;4/09/1975;light green;0.001976034;;;;;;
1;5/09/1975;light green;-0.006728471;;;;;;
1;8/09/1975;light green;0.003153429;;;;;;
