Period;Date;stage;GSPC;IXIC;DJI;IWM;d_GSPC;d_IXIC;d_DJI;d_IWM
1;1/04/1975;light green;82.63999939;75.41999817;;;-0.002541131;0.002651877;;
1;2/04/1975;light green;82.43000031;75.62000275;;;-0.002541131;0.002651877;;
1;3/04/1975;light green;81.51000214;74.94999695;;;-0.011160963;-0.008860166;;
1;4/04/1975;light green;80.87999725;74.73000336;;;-0.007729173;-0.002935205;;
1;7/04/1975;light green;80.34999847;74.33999634;;;-0.006552903;-0.005218881;;
1;8/04/1975;light green;80.98999786;74.52999878;;;0.007965145;0.002555858;;
1;9/04/1975;light green;82.83999634;75.40000153;;;0.022842308;0.011673189;;
1;10/04/1975;light green;83.76999664;75.76000214;;;0.011226465;0.004774544;;
1;11/04/1975;light green;84.18000031;76.30999756;;;0.004894398;0.007259707;;
1;14/04/1975;light green;85.59999847;77.33000183;;;0.016868593;0.013366588;;
1;15/04/1975;light green;86.30000305;77.51000214;;;0.008177624;0.00232769;;
1;16/04/1975;light green;86.59999847;78;;;0.003476192;0.006321737;;
1;17/04/1975;light green;87.25;78.26000214;;;0.007505791;0.003333361;;
1;18/04/1975;light green;86.30000305;78.08000183;;;-0.010888217;-0.002300029;;
1;21/04/1975;light green;87.23000336;79.08000183;;;0.010776365;0.012807377;;
1;22/04/1975;light green;87.08999634;78.54000092;;;-0.001605033;-0.006828539;;
1;23/04/1975;light green;86.12000275;78.23999786;;;-0.01113783;-0.003819749;;
1;24/04/1975;light green;86.04000092;78.06999969;;;-0.000928958;-0.002172778;;
1;25/04/1975;light green;86.62000275;78.63999939;;;0.006741072;0.007301136;;
1;28/04/1975;light green;86.23000336;78.27999878;;;-0.004502417;-0.004577831;;
1;29/04/1975;light green;85.63999939;77.81999969;;;-0.006842212;-0.00587633;;
1;30/04/1975;light green;87.30000305;78.54000092;;;0.019383509;0.009252136;;
1;1/05/1975;light green;88.09999847;79.26999664;;;0.00916375;0.009294572;;
1;2/05/1975;light green;89.22000122;80.25;;;0.012712858;0.012362854;;
1;5/05/1975;light green;90.08000183;81.13999939;;;0.009639101;0.011090335;;
1;6/05/1975;light green;88.63999939;80.80999756;;;-0.015985817;-0.004067067;;
1;7/05/1975;light green;89.08000183;81.30999756;;;0.004963926;0.006187353;;
1;8/05/1975;light green;89.55999756;82.12000275;;;0.005388367;0.009961938;;
1;9/05/1975;light green;90.52999878;82.81999969;;;0.010830742;0.008524074;;
1;12/05/1975;light green;90.61000061;82.30000305;;;0.000883705;-0.006278636;;
1;13/05/1975;light green;91.58000183;82.34999847;;;0.010705234;0.000607478;;
1;14/05/1975;light green;92.26999664;82.91000366;;;0.007534339;0.006800306;;
1;15/05/1975;light green;91.41000366;82.79000092;;;-0.009320397;-0.001447386;;
1;16/05/1975;light green;90.43000031;82.44000244;;;-0.010720964;-0.004227545;;
1;19/05/1975;light green;90.52999878;81.98999786;;;0.001105811;-0.005458571;;
1;20/05/1975;light green;90.06999969;81.81999969;;;-0.005081179;-0.002073401;;
1;21/05/1975;light green;89.05999756;80.94999695;;;-0.011213524;-0.010633131;;
