Period;Date;stage;GSPC;IXIC;DJI;IWM;d_GSPC;d_IXIC;d_DJI;d_IWM
1;1/05/1973;orange;107.0999985;107.9599991;;;0.012418318;0.010096369;;
1;2/05/1973;orange;108.4300003;109.0500031;;;0.012418318;0.010096369;;
1;3/05/1973;orange;110.2200012;109.8099976;;;0.016508355;0.00696923;;
1;4/05/1973;orange;111;110.8899994;;;0.007076745;0.009835186;;
1;7/05/1973;orange;110.5299988;110.4800034;;;-0.004234245;-0.003697322;;
1;8/05/1973;orange;111.25;110.6699982;;;0.00651408;0.001719721;;
1;9/05/1973;orange;110.4400024;110.5400009;;;-0.007280877;-0.001174639;;
1;10/05/1973;orange;109.5400009;110.3199997;;;-0.008149235;-0.001990241;;
1;11/05/1973;orange;108.1699982;109.0999985;;;-0.012506871;-0.011058749;;
1;14/05/1973;orange;105.9000015;106.4599991;;;-0.020985456;-0.024197978;;
1;15/05/1973;orange;106.5699997;106.1399994;;;0.006326706;-0.003005821;;
1;16/05/1973;orange;106.4300003;106.0999985;;;-0.001313685;-0.000376869;;
1;17/05/1973;orange;105.5599976;105.1900024;;;-0.008174412;-0.008576778;;
1;18/05/1973;orange;103.8600006;102.8899994;;;-0.016104557;-0.021865224;;
1;21/05/1973;orange;102.7300034;100.7600021;;;-0.010880004;-0.020701694;;
1;22/05/1973;orange;103.5800018;101.5899963;;;0.008274101;0.008237338;;
1;23/05/1973;orange;104.0699997;102.0899963;;;0.004730623;0.004921744;;
1;24/05/1973;orange;107.1399994;104.2699966;;;0.029499373;0.021353711;;
1;25/05/1973;orange;107.9400024;105.1699982;;;0.007466894;0.008631453;;
1;29/05/1973;orange;107.5100021;104.8499985;;;-0.003983697;-0.00304269;;
1;30/05/1973;orange;105.9100037;103.1900024;;;-0.014882321;-0.015832104;;
1;31/05/1973;orange;104.9499969;102.6399994;;;-0.009064364;-0.005330003;;
1;1/06/1973;orange;103.9300003;102.3000031;;;-0.009718882;-0.003312513;;
1;4/06/1973;orange;102.9700012;100.7699966;;;-0.009236978;-0.014956075;;
1;5/06/1973;orange;104.6200027;101.7099991;;;0.016024099;0.009328198;;
