Period;Date;stage;GSPC;SHY;IEF;TLT;GLD;DBC;IGLB
1;3/12/1973;red;-0.00330144;;;;;;
1;4/12/1973;red;-0.00330144;;;;;;
1;5/12/1973;red;-0.015279333;;;;;;
1;6/12/1973;red;0.024522509;;;;;;
1;7/12/1973;red;0.022135183;;;;;;
1;10/12/1973;red;0.014920679;;;;;;
1;11/12/1973;red;-0.019499705;;;;;;
1;12/12/1973;red;-0.025718463;;;;;;
1;13/12/1973;red;-0.012717778;;;;;;
1;14/12/1973;red;0.009850657;;;;;;
1;17/12/1973;red;-0.005788412;;;;;;
1;18/12/1973;red;0.021455503;;;;;;
1;19/12/1973;red;0.000844436;;;;;;
1;20/12/1973;red;-0.002847465;;;;;;
1;21/12/1973;red;-0.010682201;;;;;;
1;24/12/1973;red;-0.006841986;;;;;;
1;26/12/1973;red;0.030570466;;;;;;
1;27/12/1973;red;0.020889911;;;;;;
1;28/12/1973;red;-0.002046214;;;;;;
1;31/12/1973;red;0.000102544;;;;;;
1;2/01/1974;red;0.001332622;;;;;;
1;3/01/1974;red;0.02170355;;;;;;
1;4/01/1974;red;-0.009018051;;;;;;
1;7/01/1974;red;-0.008392334;;;;;;
1;8/01/1974;red;-0.019883725;;;;;;
1;9/01/1974;red;-0.028089934;;;;;;
1;10/01/1974;red;-0.011025464;;;;;;
1;11/01/1974;red;0.013746123;;;;;;
1;14/01/1974;red;-0.002562518;;;;;;
1;15/01/1974;red;0.008670576;;;;;;
1;16/01/1974;red;0.015281702;;;;;;
1;17/01/1974;red;0.017037785;;;;;;
1;18/01/1974;red;-0.017882892;;;;;;
1;21/01/1974;red;-0.001674299;;;;;;
1;22/01/1974;red;0.012054523;;;;;;
1;23/01/1974;red;0.005385775;;;;;;
1;24/01/1974;red;-0.002575461;;;;;;
1;25/01/1974;red;-0.00196243;;;;;;
1;28/01/1974;red;-0.005588336;;;;;;
1;29/01/1974;red;-0.000832492;;;;;;
1;30/01/1974;red;0.010936313;;;;;;
1;31/01/1974;red;-0.005048402;;;;;;
1;1/02/1974;red;-0.012943979;;;;;;
1;4/02/1974;red;-0.021296672;;;;;;
1;5/02/1974;red;-0.003108596;;;;;;
1;6/02/1974;red;0.002795722;;;;;;
1;7/02/1974;red;0.000428918;;;;;;
1;8/02/1974;red;-0.010396583;;;;;;
1;11/02/1974;red;-0.018087275;;;;;;
1;12/02/1974;red;0.003088449;;;;;;
1;13/02/1974;red;0.000439861;;;;;;
1;14/02/1974;red;-0.000329813;;;;;;
1;15/02/1974;red;0.014513466;;;;;;
1;19/02/1974;red;-0.001625598;;;;;;
1;20/02/1974;red;0.014329132;;;;;;
1;21/02/1974;red;0.013591573;;;;;;
1;22/02/1974;red;0.007179815;;;;;;
1;25/02/1974;red;-0.003773987;;;;;;
1;26/02/1974;red;0.010207316;;;;;;
1;27/02/1974;red;0.004166683;;;;;;
1;28/02/1974;red;-0.001867223;;;;;;
1;1/03/1974;red;-0.007171092;;;;;;
1;4/03/1974;red;0;;;;;;
1;5/03/1974;red;0.018737579;;;;;;
1;6/03/1974;red;0.006781789;;;;;;
1;7/03/1974;red;-0.01061442;;;;;;
1;8/03/1974;red;0.008665116;;;;;;
1;11/03/1974;red;0.011249729;;;;;;
1;12/03/1974;red;0.002730626;;;;;;
1;13/03/1974;red;0.005950543;;;;;;
1;14/03/1974;red;-0.000902309;;;;;;
1;15/03/1974;red;-0.003713023;;;;;;
1;18/03/1974;red;-0.012389159;;;;;;
1;19/03/1974;red;-0.008363077;;;;;;
1;20/03/1974;red;0.003496825;;;;;;
1;21/03/1974;red;-0.002357316;;;;;;
1;22/03/1974;red;-0.000719126;;;;;;
1;25/03/1974;red;0.003803873;;;;;;
1;26/03/1974;red;0.003174903;;;;;;
1;27/03/1974;red;-0.013884642;;;;;;
1;28/03/1974;red;-0.018324844;;;;;;
1;29/03/1974;red;-0.008858852;;;;;;
1;1/04/1974;red;-0.007767646;;;;;;
1;2/04/1974;red;0.00107237;;;;;;
1;3/04/1974;red;0.010498162;;;;;;
1;4/04/1974;red;0;;;;;;
1;5/04/1974;red;-0.013993424;;;;;;
1;8/04/1974;red;-0.010536537;;;;;;
1;9/04/1974;red;0.006302313;;;;;;
1;10/04/1974;red;-0.002267564;;;;;;
1;11/04/1974;red;-0.00303029;;;;;;
1;15/04/1974;red;-0.000759875;;;;;;
1;16/04/1974;red;0.0174905;;;;;;
1;17/04/1974;red;0.007473809;;;;;;
1;18/04/1974;red;0.004451019;;;;;;
1;19/04/1974;red;-0.010867259;;;;;;
1;22/04/1974;red;-0.003946696;;;;;;
1;23/04/1974;red;-0.016813019;;;;;;
1;24/04/1974;red;-0.016446951;;;;;;
1;25/04/1974;red;-0.008084201;;;;;;
1;26/04/1974;red;0.006810323;;;;;;
1;29/04/1974;red;-0.001996011;;;;;;
1;30/04/1974;red;0.003444417;;;;;;
1;1/05/1974;red;0.021149415;;;;;;
1;2/05/1974;red;-0.001409725;;;;;;
1;3/05/1974;red;-0.008687104;;;;;;
1;6/05/1974;red;-0.001862177;;;;;;
1;7/05/1974;red;0.003731303;;;;;;
1;8/05/1974;red;0.001968077;;;;;;
1;9/05/1974;red;0.014404187;;;;;;
1;10/05/1974;red;-0.016028376;;;;;;
1;13/05/1974;red;-0.008855336;;;;;;
1;14/05/1974;red;0.000330893;;;;;;
1;15/05/1974;red;-0.002646438;;;;;;
1;16/05/1974;red;-0.00807071;;;;;;
1;17/05/1974;red;-0.016830162;;;;;;
1;20/05/1974;red;-0.003967787;;;;;;
1;21/05/1974;red;0.000569122;;;;;;
1;22/05/1974;red;-0.009327804;;;;;;
1;23/05/1974;red;0.002296528;;;;;;
1;24/05/1974;red;0.014778335;;;;;;
1;28/05/1974;red;-0.002370728;;;;;;
1;29/05/1974;red;-0.016747803;;;;;;
1;30/05/1974;red;0.006214765;;;;;;
1;31/05/1974;red;-0.001715676;;;;;;
1;3/06/1974;red;0.020852426;;;;;;
1;4/06/1974;red;0.011672289;;;;;;
1;5/06/1974;red;0.001885935;;;;;;
1;6/06/1974;red;0.018270419;;;;;;
1;7/06/1974;red;0.006415876;;;;;;
1;10/06/1974;red;0.005942684;;;;;;
1;11/06/1974;red;-0.00880773;;;;;;
1;12/06/1974;red;-0.002384062;;;;;;
1;13/06/1974;red;0.003041482;;;;;;
1;14/06/1974;red;-0.011262652;;;;;;
1;17/06/1974;red;-0.01380068;;;;;;
1;18/06/1974;red;-0.006552687;;;;;;
1;19/06/1974;red;-0.006819459;;;;;;
1;20/06/1974;red;-0.00709137;;;;;;
1;21/06/1974;red;-0.008502437;;;;;;
1;24/06/1974;red;0.002629812;;;;;;
1;25/06/1974;red;0.014710924;;;;;;
1;26/06/1974;red;-0.015396749;;;;;;
1;27/06/1974;red;-0.014838523;;;;;;
1;28/06/1974;red;-0.003591676;;;;;;
1;1/07/1974;red;0.000232519;;;;;;
1;2/07/1974;red;-0.019995276;;;;;;
1;3/07/1974;red;-0.000593156;;;;;;
1;5/07/1974;red;-0.007002924;;;;;;
1;8/07/1974;red;-0.030719665;;;;;;
1;9/07/1974;red;0.004809558;;;;;;
