Period,Date,stage,GSPC,IXIC,DJI,IWM,d_GSPC,d_IXIC,d_DJI,d_IWM
1,03/12/1973,red,93.90000153,91.97000122,,,-0.00330144,-0.004458015,,
1,04/12/1973,red,93.58999634,91.55999756,,,-0.00330144,-0.004458015,,
1,05/12/1973,red,92.16000366,89.73000336,,,-0.015279333,-0.019986831,,
1,06/12/1973,red,94.41999817,91.26999664,,,0.024522509,0.017162523,,
1,07/12/1973,red,96.51000214,92.31999969,,,0.022135183,0.011504362,,
1,10/12/1973,red,97.94999695,93.54000092,,,0.014920679,0.013214918,,
1,11/12/1973,red,96.04000092,92.19999695,,,-0.019499705,-0.014325465,,
1,12/12/1973,red,93.56999969,90.80999756,,,-0.025718463,-0.015075916,,
1,13/12/1973,red,92.37999725,89.12000275,,,-0.012717778,-0.018610229,,
1,14/12/1973,red,93.29000092,89.62999725,,,0.009850657,0.005722559,,
1,17/12/1973,red,92.75,89.12999725,,,-0.005788412,-0.00557849,,
1,18/12/1973,red,94.73999786,90.55999756,,,0.021455503,0.016043985,,
1,19/12/1973,red,94.81999969,90.23999786,,,0.000844436,-0.003533566,,
1,20/12/1973,red,94.55000305,90.26999664,,,-0.002847465,0.000332433,,
1,21/12/1973,red,93.54000092,89.51999664,,,-0.010682201,-0.008308408,,
1,24/12/1973,red,92.90000153,88.66999817,,,-0.006841986,-0.009495068,,
1,26/12/1973,red,95.73999786,90.19000244,,,0.030570466,0.017142261,,
1,27/12/1973,red,97.73999786,91.25,,,0.020889911,0.011752939,,
1,28/12/1973,red,97.54000092,91.68000031,,,-0.002046214,0.004712332,,
1,31/12/1973,red,97.55000305,92.19000244,,,0.000102544,0.00556285,,
1,02/01/1974,red,97.68000031,92.52999878,,,0.001332622,0.003687996,,
1,03/01/1974,red,99.80000305,94.18000031,,,0.02170355,0.017832071,,
1,04/01/1974,red,98.90000153,94.09999847,,,-0.009018051,-0.000849457,,
1,07/01/1974,red,98.06999969,94.47000122,,,-0.008392334,0.003932017,,
1,08/01/1974,red,96.12000275,94.01999664,,,-0.019883725,-0.004763465,,
1,09/01/1974,red,93.41999817,92.19999695,,,-0.028089934,-0.019357581,,
1,10/01/1974,red,92.38999939,91.41999817,,,-0.011025464,-0.008459857,,
1,11/01/1974,red,93.66000366,92.23000336,,,0.013746123,0.008860263,,
1,14/01/1974,red,93.41999817,92.40000153,,,-0.002562518,0.001843198,,
1,15/01/1974,red,94.23000336,93.06999969,,,0.008670576,0.007251062,,
1,16/01/1974,red,95.66999817,94.48999786,,,0.015281702,0.015257314,,
1,17/01/1974,red,97.30000305,95.94999695,,,0.017037785,0.015451361,,
1,18/01/1974,red,95.55999756,95.31999969,,,-0.017882892,-0.006565891,,
1,21/01/1974,red,95.40000153,94.48000336,,,-0.001674299,-0.008812383,,
1,22/01/1974,red,96.55000305,95.29000092,,,0.012054523,0.008573217,,
1,23/01/1974,red,97.06999969,95.76000214,,,0.005385775,0.004932325,,
1,24/01/1974,red,96.81999969,95.61000061,,,-0.002575461,-0.001566432,,
1,25/01/1974,red,96.62999725,95.40000153,,,-0.00196243,-0.002196413,,
1,28/01/1974,red,96.08999634,95.01999664,,,-0.005588336,-0.00398328,,
1,29/01/1974,red,96.01000214,94.55999756,,,-0.000832492,-0.004841077,,
1,30/01/1974,red,97.05999756,95.16999817,,,0.010936313,0.006450937,,
1,31/01/1974,red,96.56999969,94.93000031,,,-0.005048402,-0.002521781,,
1,01/02/1974,red,95.31999969,94.15000153,,,-0.012943979,-0.008216568,,
1,04/02/1974,red,93.29000092,92.88999939,,,-0.021296672,-0.013382922,,
1,05/02/1974,red,93,92.45999908,,,-0.003108596,-0.004629135,,
1,06/02/1974,red,93.26000214,92.73999786,,,0.002795722,0.003028323,,
1,07/02/1974,red,93.30000305,92.80999756,,,0.000428918,0.000754795,,
1,08/02/1974,red,92.33000183,92.19999695,,,-0.010396583,-0.006572574,,
1,11/02/1974,red,90.66000366,91.12999725,,,-0.018087275,-0.011605203,,
1,12/02/1974,red,90.94000244,90.5,,,0.003088449,-0.006913171,,
1,13/02/1974,red,90.98000336,90.08000183,,,0.000439861,-0.004640864,,
1,14/02/1974,red,90.94999695,90.20999908,,,-0.000329813,0.001443131,,
1,15/02/1974,red,92.26999664,90.98000336,,,0.014513466,0.008535687,,
1,19/02/1974,red,92.12000275,90.81999969,,,-0.001625598,-0.001758669,,
1,20/02/1974,red,93.44000244,91.55999756,,,0.014329132,0.008147962,,
1,21/02/1974,red,94.70999908,92.16999817,,,0.013591573,0.006662305,,
1,22/02/1974,red,95.38999939,92.93000031,,,0.007179815,0.008245656,,
1,25/02/1974,red,95.02999878,92.72000122,,,-0.003773987,-0.002259756,,
1,26/02/1974,red,96,93.11000061,,,0.010207316,0.004206206,,
1,27/02/1974,red,96.40000153,94.05999756,,,0.004166683,0.010202953,,
1,28/02/1974,red,96.22000122,94.34999847,,,-0.001867223,0.003083148,,
1,01/03/1974,red,95.52999878,94.05000305,,,-0.007171092,-0.003179602,,
1,04/03/1974,red,95.52999878,93.80000305,,,0,-0.00265816,,
1,05/03/1974,red,97.31999969,94.70999908,,,0.018737579,0.00970145,,
1,06/03/1974,red,97.98000336,95.12000275,,,0.006781789,0.004329043,,
1,07/03/1974,red,96.94000244,94.52999878,,,-0.01061442,-0.006202733,,
1,08/03/1974,red,97.77999878,95.16999817,,,0.008665116,0.006770331,,
1,11/03/1974,red,98.87999725,95.87000275,,,0.011249729,0.007355307,,
1,12/03/1974,red,99.15000153,95.80000305,,,0.002730626,-0.000730152,,
1,13/03/1974,red,99.73999786,96.33000183,,,0.005950543,0.005532346,,
1,14/03/1974,red,99.65000153,96.51000214,,,-0.000902309,0.00186858,,
1,15/03/1974,red,99.27999878,96.52999878,,,-0.003713023,0.000207198,,
1,18/03/1974,red,98.05000305,95.37000275,,,-0.012389159,-0.012016949,,
1,19/03/1974,red,97.23000336,94.75,,,-0.008363077,-0.006501025,,
1,20/03/1974,red,97.56999969,94.94999695,,,0.003496825,0.002110786,,
1,21/03/1974,red,97.33999634,95.36000061,,,-0.002357316,0.004318101,,
1,22/03/1974,red,97.26999664,95.44999695,,,-0.000719126,0.000943754,,
1,25/03/1974,red,97.63999939,95.34999847,,,0.003803873,-0.001047653,,
1,26/03/1974,red,97.94999695,95.26999664,,,0.003174903,-0.000839033,,
1,27/03/1974,red,96.58999634,94.20999908,,,-0.013884642,-0.011126247,,
1,28/03/1974,red,94.81999969,92.87000275,,,-0.018324844,-0.014223504,,
1,29/03/1974,red,93.98000336,92.26999664,,,-0.008858852,-0.00646071,,
1,01/04/1974,red,93.25,91.90000153,,,-0.007767646,-0.004009918,,
1,02/04/1974,red,93.34999847,92.02999878,,,0.00107237,0.001414551,,
1,03/04/1974,red,94.33000183,92.12999725,,,0.010498162,0.001086586,,
1,04/04/1974,red,94.33000183,91.87999725,,,0,-0.002713557,,
1,05/04/1974,red,93.01000214,90.69999695,,,-0.013993424,-0.012842842,,
1,08/04/1974,red,92.02999878,89.91999817,,,-0.010536537,-0.008599766,,
1,09/04/1974,red,92.61000061,90.18000031,,,0.006302313,0.002891483,,
1,10/04/1974,red,92.40000153,89.87000275,,,-0.002267564,-0.003437542,,
1,11/04/1974,red,92.12000275,89.79000092,,,-0.00303029,-0.000890195,,
1,15/04/1974,red,92.05000305,89.41999817,,,-0.000759875,-0.004120757,,
1,16/04/1974,red,93.66000366,90.33000183,,,0.0174905,0.010176735,,
