month;LEI;CEI;GDP;NBER
1/07/1972;50.3;39.5;3.8;expansion
1/08/1972;51;39.9;3.8;expansion
1/09/1972;51.6;40.2;3.8;expansion
1/10/1972;52;40.7;6.9;expansion
1/11/1972;52.5;41;6.9;expansion
1/12/1972;53.1;41.4;6.9;expansion
1/01/1973;53.4;41.5;10.3;expansion
1/02/1973;53.6;41.7;10.3;expansion
1/03/1973;53.6;41.8;10.3;expansion
1/04/1973;53.3;41.8;4.4;expansion
1/05/1973;53.3;41.9;4.4;expansion
1/06/1973;53.2;42;4.4;expansion
1/07/1973;52.9;42.2;-2.1;expansion
1/08/1973;52.4;42;-2.1;expansion
1/09/1973;52.2;42.2;-2.1;expansion
1/10/1973;52.1;42.7;3.9;expansion
1/11/1973;51.8;42.9;3.9;expansion
1/12/1973;51.2;42.8;3.9;contraction
1/01/1974;51;42.6;-3.4;contraction
1/02/1974;50.6;42.5;-3.4;contraction
1/03/1974;50.5;42.4;-3.4;contraction
1/04/1974;49.8;42.3;1;contraction
1/05/1974;49.6;42.4;1;contraction
1/06/1974;49.1;42.4;1;contraction
1/07/1974;48.5;42.4;-3.7;contraction
1/08/1974;47.7;42.2;-3.7;contraction
1/09/1974;46.8;42.1;-3.7;contraction
1/10/1974;46.2;42;-1.5;contraction
1/11/1974;45.5;41.5;-1.5;contraction
1/12/1974;44.7;40.8;-1.5;contraction
1/01/1975;44.4;40.6;-4.8;contraction
1/02/1975;44.2;40.3;-4.8;contraction
1/03/1975;44.1;39.9;-4.8;contraction
1/04/1975;44.7;40;2.9;expansion
1/05/1975;45;40;2.9;expansion
1/06/1975;45.3;40.1;2.9;expansion
1/07/1975;45.8;40.3;7;expansion
1/08/1975;45.9;40.6;7;expansion
1/09/1975;46.1;40.8;7;expansion
1/10/1975;46.5;40.9;5.5;expansion
1/11/1975;46.7;41;5.5;expansion
1/12/1975;47;41.2;5.5;expansion
1/01/1976;47.7;41.7;9.3;expansion
1/02/1976;48.4;41.9;9.3;expansion
1/03/1976;48.6;42.1;9.3;expansion
1/04/1976;48.8;42.3;3;expansion
1/05/1976;49.2;42.3;3;expansion
1/06/1976;49.3;42.5;3;expansion
1/07/1976;49.8;42.6;2.2;expansion
1/08/1976;50;42.8;2.2;expansion
1/09/1976;50.4;42.9;2.2;expansion
1/10/1976;50.4;42.8;2.9;expansion
1/11/1976;50.9;43.2;2.9;expansion
1/12/1976;51.4;43.6;2.9;expansion
1/01/1977;51.4;43.4;4.8;expansion
1/02/1977;51.7;43.8;4.8;expansion
1/03/1977;52.5;44.1;4.8;expansion
1/04/1977;52.6;44.3;8;expansion
1/05/1977;52.9;44.5;8;expansion
1/06/1977;53.3;44.8;8;expansion
1/07/1977;53.4;44.9;7.4;expansion
1/08/1977;53.6;45;7.4;expansion
1/09/1977;53.7;45.3;7.4;expansion
1/10/1977;53.8;45.5;0;expansion
1/11/1977;54;45.8;0;expansion
1/12/1977;54.1;46;0;expansion
1/01/1978;53.8;45.6;1.3;expansion
1/02/1978;54.1;46;1.3;expansion
1/03/1978;54.6;46.4;1.3;expansion
1/04/1978;55.2;47;16.4;expansion
1/05/1978;55.5;47.1;16.4;expansion
1/06/1978;55.7;47.4;16.4;expansion
1/07/1978;55.6;47.4;4.1;expansion
1/08/1978;56;47.7;4.1;expansion
1/09/1978;56.2;47.7;4.1;expansion
1/10/1978;56.3;48;5.5;expansion
1/11/1978;56;48.2;5.5;expansion
1/12/1978;56;48.4;5.5;expansion
